msd_song_id,spotify_song_ids
SOBAYLL12A8C138AF9,[]
SOBKWDJ12A8C13B2F3,"[""2tC8h6mkTaBlN0jBfEdqSl""]"
SODAUVL12A8C13D184,"[""37E6zukAEyXZTmkLLs5DRv"",""1RV1yEPDq9Y6k9a9ouuF0X""]"
SODLRRT12AB0189535,"[""6I0DRBl7sN6I49AD6Ec06Q"",""05IIELizKn1mxrP6zv4CVv"",""2EFSCiM9GXv7nt6FUreMLM""]"
SODREIN12A58A7F2E5,[]
SOGDBUF12A8C140FAA,"[""5OyiUwH6ZMzG1WXqe9Djk3"",""0pnJy3KN4CGC8aqfMreJXg"",""17Lx7J5aPxrRezMCkaeCHt"",""391PgJTUqMdTi4y2CGHxbg""]"
SOGVQGJ12AB017F169,[]
SOINLJW12A8C13314C,"[""5KJo5xRdnootBfkcGMvn9O""]"
SOIUJEF12A8C13C878,"[""37iwFRMBQ46R6c0Xl2CG22"",""6NPt9CBeiid77vhFBRWizx""]"
SOLCALW12A8C132870,"[""2xkX7kxpDCtASJVlhDujWZ""]"
