id,name,release,genre,artist_id,artist_name,year
SOAAAQN12AB01856D3,Campeones De La Vida,20 Años,,ARAMIDF1187FB3D8D4,Alejandro Lerner,0
SOAAHZS12A8C143A21,Rakkauden veteraani,Viimeiseen pisaraan,,ARV69FI1187B9AA14F,Kari Tapio,2009
SOAASSD12AB0181AA6,Song From Moulin Rouge,16 Most Requested Songs Of The 1950s. Volume Two,,ARKXLIJ1187B9A4C54,Percy Faith & His Orchestra,0
SOABFQI12A58A7D162,Another World (Album Version),Blank Generation,,AR9B5JX1187FB55D84,Richard Hell & The Voidoids,1977
SOABTKM12A8AE4721E,Nothing's Clear (Album Version),Revolution Revolucion,,ARQATWU1187B98EE26,Ill Nino,0
SOABVPU12AB018AA22,Conquer Me,Dub Plate Style,,ARZZRK91187B9A5CA5,Delroy Wilson,2009
SOABVWD12A58A7C3FF,Adios_ Mi Corazon,South Of The Border,,ARJUNZD1187B9A5DAE,Herb Alpert And The Tijuana Brass,1964
SOACEBF12A8C141362,Viola Lee,See Reverse Side For The Title,,AR5ZI3K1187FB38BE0,Jim Kweskin_ The Jug Band,0
SOACEDS12A6701EAAA,Gone To The Movies,Feeling Strangely Fine,,ARP96FM1187B9AEA77,Semisonic,1998
SOACEXG12AC468D8FB,Party Favours,Preset 001 / Reset 001,,ARMUCXW11F50C4BFEC,Bionikworld,0
