id,name,url,total_followers,popularity,genres
00zWULWU5fMa8oNzY3Xavp,La Nueva Sangre Sonora Santanera,https://open.spotify.com/artist/00zWULWU5fMa8oNzY3Xavp,419,9,[]
01uLFuopGIW0WmZrbMLUfL,Harold y Elena,https://open.spotify.com/artist/01uLFuopGIW0WmZrbMLUfL,49188,40,"[""latin worship""]"
0DbVzCVBH0EdpXc7Jki7kL,Jimmy Wakely Trio,https://open.spotify.com/artist/0DbVzCVBH0EdpXc7Jki7kL,8,0,[]
15Lajf4MA8KsT2R5gf2axt,Jacob Young,https://open.spotify.com/artist/15Lajf4MA8KsT2R5gf2axt,31,0,[]
1KUkVw47peYPUiEJIPPB7q,Jimmy Wakely & Linda Lee,https://open.spotify.com/artist/1KUkVw47peYPUiEJIPPB7q,1,0,[]
1VQZaAStWw5pGfBhcwXBYa,Karaoke - Jimmy Wakely,https://open.spotify.com/artist/1VQZaAStWw5pGfBhcwXBYa,1,0,[]
1ozdOPvHrtTgCoilaTK6zS,La Única Interncional Sonora Santanera,https://open.spotify.com/artist/1ozdOPvHrtTgCoilaTK6zS,61,0,[]
1yGHqqvb0V7V4u2PBaprSm,Headband Andy,https://open.spotify.com/artist/1yGHqqvb0V7V4u2PBaprSm,18928,48,[]
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,12573117,80,"[""british invasion"",""classic rock"",""rock""]"
2Jhg4utIpCsER3JKSUnF7F,Elena Riu,https://open.spotify.com/artist/2Jhg4utIpCsER3JKSUnF7F,87,41,[]
