id,name,url,external_ids,popularity,available_markets,album_id,artists,duration_ms
05IIELizKn1mxrP6zv4CVv,"Disappeared - Live at Martyr's, Chicago - November 17, 2002",https://open.spotify.com/track/05IIELizKn1mxrP6zv4CVv,"{""isrc"":""QMDA61409980""}",0,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""JP"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RS"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""XK"",""ZA"",""ZM"",""ZW""]",5eB8Z1s2wNZFWKrHLFh6um,"[{""artist_id"":""05NKl1ImG5pFWsUs2poYNm"",""artist_name"":""John Wesley""}]",337000
0PUtlSxuU8g8wYtRCZqbnU,Blessed Assurance,https://open.spotify.com/track/0PUtlSxuU8g8wYtRCZqbnU,"{""isrc"":""USA5W0404430""}",1,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RS"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""XK"",""ZA"",""ZM"",""ZW""]",0uWmUHmAUKcKWdSFrqK8Jw,"[{""artist_id"":""4rhwll8EPEHOW8diluKlrZ"",""artist_name"":""Glad""}]",271400
0XwI9EWoqgN1nELsFSF6ti,Blessed Assurance,https://open.spotify.com/track/0XwI9EWoqgN1nELsFSF6ti,"{""isrc"":""USA5W0404430""}",2,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""JP"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RS"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""XK"",""ZA"",""ZM"",""ZW""]",25J2jysQbErrzLnNI9PvaT,"[{""artist_id"":""4rhwll8EPEHOW8diluKlrZ"",""artist_name"":""Glad""}]",270613
0pnJy3KN4CGC8aqfMreJXg,"Pimps, Hustlas (feat. James ""Stomp Down"" Bailey) - Intro",https://open.spotify.com/track/0pnJy3KN4CGC8aqfMreJXg,"{""isrc"":""USJI10200189""}",7,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""JP"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RS"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""XK"",""ZA"",""ZM"",""ZW""]",45Zw8CYH1tzB5Z56rUiui1,"[{""artist_id"":""3crnzLy8R4lVwaigKEOz7V"",""artist_name"":""E-40""},{""artist_id"":""2xeWqd6QlOjoSfT08C37pf"",""artist_name"":""James \""Stomp Down\"" Bailey""}]",66493
17Lx7J5aPxrRezMCkaeCHt,Intro,https://open.spotify.com/track/17Lx7J5aPxrRezMCkaeCHt,"{""isrc"":""QZNWZ2021792""}",0,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""JP"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RS"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""XK"",""ZA"",""ZM"",""ZW""]",4JepylgxwEXudcDzXuCNPy,"[{""artist_id"":""5jQapTDBborssasIJsbQoZ"",""artist_name"":""GRIT-40""}]",172303
2EdWDsjcVGUshnSrc6cywu,"Just a Little Lovin' (Will Go a Long, Long Way)",https://open.spotify.com/track/2EdWDsjcVGUshnSrc6cywu,"{""isrc"":""USRN10300334""}",0,"[""US""]",39p5rY76xRRh3EOnrJKDzF,"[{""artist_id"":""5QsUbpxSE8lCZ5ga5rnD22"",""artist_name"":""Eddy Arnold""}]",163173
2hbjCtRyFg0jlSiRTgJjzM,Native Soul,https://open.spotify.com/track/2hbjCtRyFg0jlSiRTgJjzM,"{""isrc"":""USGR10300233""}",12,"[""AD"",""AE"",""AR"",""AT"",""AU"",""BD"",""BE"",""BG"",""BH"",""BO"",""BR"",""CA"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CW"",""CY"",""CZ"",""DE"",""DK"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""FI"",""FR"",""GB"",""GN"",""GR"",""GT"",""HK"",""HN"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JO"",""JP"",""KR"",""KW"",""LA"",""LB"",""LI"",""LK"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MT"",""MU"",""MX"",""MY"",""NG"",""NI"",""NL"",""NO"",""NZ"",""OM"",""PA"",""PE"",""PH"",""PL"",""PT"",""PY"",""QA"",""RO"",""RW"",""SA"",""SE"",""SG"",""SI"",""SK"",""SV"",""TH"",""TN"",""TR"",""TW"",""UA"",""US"",""VE"",""VN"",""ZA""]",20mUME6ngGo4rrbyCNMqnO,"[{""artist_id"":""6nPiCm3jwXHrOsMbTDoc4E"",""artist_name"":""Danilo Perez""}]",196133
2xkX7kxpDCtASJVlhDujWZ,Swallow the Knife (Segue) - Live,https://open.spotify.com/track/2xkX7kxpDCtASJVlhDujWZ,"{""isrc"":""USMV20500083""}",5,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""JP"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RS"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""XK"",""ZA"",""ZM"",""ZW""]",6o9S11cKrBkiFKLfo57XAK,"[{""artist_id"":""0KDuKk6YdEu3hR56HtXmxt"",""artist_name"":""Story Of The Year""}]",75573
37E6zukAEyXZTmkLLs5DRv,Prognosis,https://open.spotify.com/track/37E6zukAEyXZTmkLLs5DRv,"{""isrc"":""US78S0570302""}",9,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""ZA"",""ZM"",""ZW""]",5eiBwBDsBw27eXnS3VOidz,"[{""artist_id"":""4FzTsw9P3m2xDkwtiSiBMB"",""artist_name"":""Steve Morse""}]",365240
37iwFRMBQ46R6c0Xl2CG22,Because of You,https://open.spotify.com/track/37iwFRMBQ46R6c0Xl2CG22,"{""isrc"":""USRC19900825""}",16,"[""AD"",""AE"",""AG"",""AL"",""AM"",""AO"",""AR"",""AT"",""AU"",""AZ"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BJ"",""BN"",""BO"",""BR"",""BS"",""BT"",""BW"",""BY"",""BZ"",""CA"",""CD"",""CG"",""CH"",""CI"",""CL"",""CM"",""CO"",""CR"",""CV"",""CW"",""CY"",""CZ"",""DE"",""DJ"",""DK"",""DM"",""DO"",""DZ"",""EC"",""EE"",""EG"",""ES"",""ET"",""FI"",""FJ"",""FM"",""FR"",""GA"",""GB"",""GD"",""GE"",""GH"",""GM"",""GN"",""GQ"",""GR"",""GT"",""GW"",""GY"",""HK"",""HN"",""HR"",""HT"",""HU"",""ID"",""IE"",""IL"",""IN"",""IQ"",""IS"",""IT"",""JM"",""JO"",""JP"",""KE"",""KG"",""KH"",""KI"",""KM"",""KN"",""KR"",""KW"",""KZ"",""LA"",""LB"",""LC"",""LI"",""LK"",""LR"",""LS"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MG"",""MH"",""MK"",""ML"",""MN"",""MO"",""MR"",""MT"",""MU"",""MV"",""MW"",""MX"",""MY"",""MZ"",""NA"",""NE"",""NG"",""NI"",""NL"",""NO"",""NP"",""NR"",""NZ"",""OM"",""PA"",""PE"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""PW"",""PY"",""QA"",""RO"",""RS"",""RW"",""SA"",""SB"",""SC"",""SE"",""SG"",""SI"",""SK"",""SL"",""SM"",""SN"",""SR"",""ST"",""SV"",""SZ"",""TD"",""TG"",""TH"",""TJ"",""TL"",""TN"",""TO"",""TR"",""TT"",""TV"",""TW"",""TZ"",""UA"",""UG"",""US"",""UY"",""UZ"",""VC"",""VE"",""VN"",""VU"",""WS"",""XK"",""ZA"",""ZM"",""ZW""]",0Tal6Clg8tf5wySzqL9HFs,"[{""artist_id"":""5N6GwJzOcOY5kv8p0NjhYL"",""artist_name"":""Neil Sedaka""}]",170840
